x,always_explore_reward,always_explore_arm,ucb_naive_reward,ucb_naive_arm
1,2.6424722384237205,0,-0.7391693933378842,0
2,4.714285459042145,1,6.871120224281217,1
3,3.1127477237471624,0,4.1369923632636825,1
4,2.4698123377376304,1,4.395163592448215,1
5,2.2536545270199353,0,5.6529641826132675,1
6,1.5113251371027145,1,1.4052124536336748,1
7,1.3206292046753692,0,3.9354988371715494,1
8,4.2608637548235375,1,5.130350469614612,1
9,4.834883661906172,0,1.7470152913242774,1
10,7.0426876582643505,1,5.776162898104521,1
11,-0.4071608206507109,0,5.280271099202747,1
12,4.823751469612391,1,7.899307672182562,1
13,4.114068380667437,0,5.396683724373033,1
14,8.072504734014473,1,4.830634983066414,1
15,3.1896866712864247,0,5.466773560898999,1
16,7.545395956593171,1,2.8965914386769147,1
17,2.622643955661922,0,1.6048292493054315,1
18,2.2497800381587685,1,3.535773953758757,1
19,1.5950496685433428,0,1.8071542872280102,1
20,1.8866236939368046,1,7.073703375899782,1
21,0.6333110201605976,0,5.788610612539305,1
22,6.4834638103725215,1,3.972869749336003,1
23,2.993498193486137,0,3.206719306714634,1
24,2.9269245127607926,1,6.022864776449495,1
25,3.09519251457676,0,3.2310074437150473,1
26,3.8734036754091012,1,4.951677551651523,1
27,3.6705138314002848,0,6.266731283035698,1
28,3.272957484851232,1,6.904026659333692,1
29,0.654299742458667,0,2.418634236882565,1
30,4.102576380536692,1,4.306892817499847,1
31,2.449100319050464,0,6.408557071810703,1
32,5.212667682410281,1,3.862598789803668,1
33,2.1383648267354767,0,4.727203944703093,1
34,6.953897034291155,1,3.044099652891307,1
35,0.05745972576464875,0,6.334926545246244,1
36,4.136007250436225,1,3.3821672362449244,1
37,1.3360446013530525,0,2.7658876777203907,1
38,5.58295938951568,1,2.2523511953703697,1
39,1.6447183033029256,0,2.7903017089922773,1
40,2.4405194456495884,1,2.0975689821224295,1
41,4.305895246093496,0,5.237702543896564,1
42,6.374257756994888,1,3.408286957821255,1
43,3.1877576295805623,0,7.746356461335049,1
44,2.6875431993368366,1,6.0108243620503075,1
45,1.4682938297322725,0,4.847785978153705,1
46,3.5771709697713208,1,1.8493802236464065,1
47,2.451726558862453,0,5.462239578381691,1
48,5.175525074634652,1,3.908297494866125,1
49,0.3722739798533635,0,3.386922223871236,1
50,5.120766634690621,1,2.8066582859224476,1
51,2.0084600406073068,0,4.738655435902306,1
52,3.340179332128513,1,3.29696430764782,1
53,4.622472328671207,0,4.883206149400662,1
54,5.193791023151545,1,3.5707528077705004,1
55,2.2963707997045812,0,2.9101299404909193,1
56,5.2428265024152525,1,8.329049143964907,1
57,3.014872600816259,0,3.173195896640848,1
58,3.6154035736312693,1,6.578927782860739,1
59,2.9454013798664045,0,6.34596717209753,1
60,5.616694136617076,1,2.054427992042398,1
61,2.2071428688477934,0,5.039815288345011,1
62,5.490678140069749,1,5.296560121025933,1
63,2.0927470361595875,0,5.264480852715972,1
64,2.636471041718625,1,5.005412206760002,1
65,2.626163141524252,0,3.5007844746282855,1
66,5.326139071620677,1,3.3089701158937883,1
67,4.228293591563288,0,4.949722636686412,1
68,1.6191933018308378,1,5.8066237061821155,1
69,0.8002733216120864,0,2.9855338564174865,1
70,3.109565605327022,1,2.8148234518809834,1
71,-1.0631534895712615,0,6.262485102934521,1
72,2.9662170496521836,1,4.971654282966691,1
73,2.528537466784319,0,4.602663708839926,1
74,1.4795291014881056,1,3.1556582958487884,1
75,1.3349609328979617,0,6.743556056009615,1
76,4.757223752164319,1,4.2613538070481,1
77,3.9325836523469615,0,2.396702809228196,1
78,3.1933383500614725,1,1.8628310443144747,1
79,1.7586653343957197,0,3.2935569180307844,1
80,5.992895152498206,1,6.384298552835471,1
81,2.212273817253102,0,7.725565304266463,1
82,1.3454886891769104,1,3.582949624197816,1
83,1.7384282871830399,0,5.72954294996301,1
84,5.193529676136791,1,6.660457941549582,1
85,1.2406362925395718,0,4.197288082811178,1
86,5.67086515760842,1,3.7666163487214757,1
87,2.190311595962708,0,4.369794215260498,1
88,6.71057037678402,1,3.3773124892951634,1
89,2.8416458906502395,0,3.1183273494223633,1
90,2.294690409994494,1,5.626840963408989,1
91,5.6278758423323225,0,6.582020611986995,1
92,3.6825203824416444,1,4.690365676384282,1
93,2.202958534937553,0,4.634954878681634,1
94,6.259570554812467,1,5.395417806654825,1
95,2.9998440802096327,0,2.791594240037367,1
96,1.0953881923492277,1,3.0071710100733977,1
97,1.7857737162357181,0,5.728583150286871,1
98,3.3139821805952203,1,4.750538112229593,1
99,3.5148797832929617,0,4.185742549307595,1
100,2.9856912599010146,1,2.9435609729745473,1
101,-0.7096049380658964,0,4.517382533626695,1
102,6.216990114436389,1,3.3160444720999456,1
103,2.83080153507302,0,3.233169104963329,1
104,1.8092136148811426,1,4.065170042682688,1
105,3.493307871288766,0,3.9899286335341646,1
106,3.452616730738056,1,2.702401289420959,1
107,3.228915376380426,0,2.6959348572263155,1
108,3.7636886191097956,1,3.3088931079302686,1
109,0.41105899822125647,0,4.916944283405817,1
110,6.1192534122725775,1,3.471547167183484,1
111,0.16760722213129275,0,3.2516308133587617,1
112,8.357735889121974,1,2.3232660318161855,1
113,1.582876653106152,0,3.887250247517523,1
114,7.562085711872138,1,3.5160147283919247,1
115,3.9787731435581453,0,4.628505698364922,1
116,1.761449806679027,1,2.5693059046184743,1
117,3.4299283173136392,0,3.1129736307252145,1
118,4.121925513661896,1,0.5051810329469908,1
119,4.3976752479118995,0,5.786543257954826,1
120,3.717180014606468,1,2.58383281342879,1
121,1.9324878389688844,0,4.67905702110642,1
122,2.4056852554461052,1,3.951466162659473,1
123,-0.21756453615610938,0,4.156126909916675,1
124,2.1635984999169238,1,3.6938803954343045,1
125,1.9088041773474669,0,3.2957143105583917,1
126,1.3698338697644679,1,2.4896038560782943,1
127,2.1960948181379596,0,6.451386576019928,1
128,6.003373847606627,1,2.2696729411838756,1
129,4.3381225206959915,0,4.168285489674095,1
130,4.277977602926624,1,3.1908170181914164,1
131,4.504563696828389,0,5.044222106218626,1
